BoxId,BoxSerial,BoxDesignation,MachineId,MachineNumber,MachineDesignation,MachineDesignation2,MachineTypId,MachineTypDesignation,MachineFamilyId,MachineFamilydesignation,ManufacturerId,ManufacturerNumber,ManufacturerName1,ManufacturerName2,ManufacturerStreet,ManufacturerPostalCode,ManufacturerCity,Date,IndustrialHours,Hours,CustomerId,CustomerNumber,CustomerName1,CustomerName2,CustomerStreet,CustomerPostalCode,CustomerCity,SiteId,SiteNumber,SiteName1,SiteName2,SiteStreet,SitePostalcode,SiteCity,Latitude,Longitude,GeoFenceRadius,ClientId,ClientName1,ClientName2,ClientStreet,ClientPostalcode,ClientCity,FakeCountry
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,5/1/17,0.77,0.46,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,6/1/17,0.98,0.59,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,7/1/17,0.5,0.3,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,2/14/2017,0.27,0.16,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,2/16/2017,0.1,0.06,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,2/17/2017,0.15,0.09,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,2/20/2017,0.5,0.3,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
97,5X0850140F001700,MTR2.5 A6 3967,2881,301389783,TASKI swingo 455 B BMS EURO,22865,1998,swingo 455,94,Scrubber Dryer,57,1,SealedAir Diversey Care,TASKI,Eschlikonerstrasse,9542,Münchwilen,2/27/2017,0.12,0.07,5347,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,57609,2267848,Bochane,,Galvanistraat 111,6716 AE   ,EDE GLD,52.0337974,5.621228732,80,542,ISS Netherlands,,,          ,,Netherlands
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,2/1/17,0.7,0.42,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,3/1/17,0.27,0.16,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
