ISS Department,Name ,Type of machine,Area suitable for machine cleaning,Calculated time machine cleaning,Weekly cleaning frequency,Comments
111305,Thon Hotel Oslo Airport,swingo 1255,1726,3.43,7,
15137,Coop Mega Levanger,swingo 855 B Power,2067,1.43,6,
15008,Thon Hotel Bergen Airport,swingo 755 B Power,744,1.62,7,
111513,Terminalbygg Gardermoen,swingo 4000,5720,1.07,7,Two machines available. 
111526,Det Norske Veritas,swingo XP-R,6799,4.15,5,
15158,Den Norske Opera,swingo XP,10700,7.92,7,
15235,Coop Mega Hnefoss,swingo 1255,1602,1.98,6,
15129,Coop Obs Bygg Tiller,swingo 855 B Power,11650,5.06,6,
15201,Coop Prix Brstadbotn,swingo 455,365,0.68,4,
15155,Furuset T banestasjon,swingo 1650,1359,1.55,2,
15150,Vinmonopolet E lager,swingo 1650,2453,1.46,1,
