machine_type,sq_hr,working_width,price,type,size,overutilization,ordinal,range_min
swingo 350,509,38,"2,347.00",Walkbehind,Small,45,1,45
swingo 455,669.9,50,"3,284.40",Walkbehind,Small,60,2,75
swingo 755,768.6,43,"4,670.11",Walkbehind,Medium,75,3,95
swingo 855,911.4,51,"4,957.48",Walkbehind,Medium,75,4,95
swingo 955,982.8,55,"5,300.00",Walkbehind,Medium,90,5,95
swingo 1255,982.8,55,"6,438.08",Walkbehind,Medium,90,6,190
swingo 1650,1162,65,"7,179.00",Walkbehind,Medium,90,7,195
swingo 1850,1551.9,85,"7,465.96",Walkbehind,Medium,120,8,195
swingo 2100,1650,55,"7,534.00",Ride-on,Large,120,9,160
swingo XP,2247,75,"10,911.08",Stand-on,Large,120,10,200
swingo 2500,2304.4,71,"11,896.49",Ride-on,Large,180,11,200
swingo 4000,3252.2,85,"14,491.57",Ride-on,Large,240,12,230
swingo 5000,4017.3,105,"15,754.92",Ride-on,Large,600,13,250
