	MachineNumber	machine_type_basename	FakeCountry	SiteId	SiteNumber	SiteName1	sq_hr	price_euro	type	size	overutilization	swap_up_with	swap_down_with	usageMedian	usageQ3	usageQ1	assetUti	utilization	relocated	contract	cost_negot	other_available	other_in_proximity	bigger_fit_doors	storage_closet	skills_in_team	recommendation	upgrade_to	downgrade_to	reasons	quant_underutilized	quant_overutilized
0	301389783	swingo 455	Netherlands	57609	2267848	Bochane	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	93.60000000000001	136.35	75.6	0.148148148148	under	0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']	1642.2	
1	18850	swingo 455	Finland	51726	11	Satamatoimisto	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	31.8	61.2	28.2	0.0347222222222	under	1	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']	1642.2	
2	18712	swingo 455	Finland	51718	3	Koehalli	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	78.60000000000001	84.6	66.3	0.129032258065	under	1	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
3	19599	swingo 455	Finland	52208	28	Neste Oyj/ Valvontakeskus	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	193.20000000000002	214.20000000000002	153.6	0.029197080292	under	0	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
4	18804	swingo 455	Finland	51727	12	Palokunta	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	29.4	64.2	24.0	0.273333333333	under	1	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']	1642.2	
5	18710	swingo 455	Finland	51723	8	Keskuslaboratorio	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	69.6	88.5	63.9	0.0955414012739	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
6	19117	swingo 455	Finland	51718	3	Koehalli	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	0.8999999999999999	2.5500000000000003	0.6	0.12582781457	under	1	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
7	18679	swingo 455	Finland	51718	3	Koehalli	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	63.6	68.39999999999999	35.4	0.210191082803	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
8	18849	swingo 455	Finland	51725	10	Terveysasema	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	256.8	266.25	132.45	0.0878378378378	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
9	18711	swingo 455	Finland	51724	9	Lupatoimisto	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	73.8	84.0	66.60000000000001	0.111888111888	under	1	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
10	301359526	swingo 455	Belgium	52615	1862550	Evonik Degussa (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	62.400000000000006	75.3	22.2	0.0708661417323	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
